,TM,WS_AVG,TA_AVG,TA_MAX,TA_MIN,HM_AVG,SS_DAY,RN_DAY,TA_DIF
308,20140209,1.9,0.2,2.9,-0.9,76.5,1.8,1.0,3.8
309,20140209,1.2,4.1,8.0,0.3,55.6,7.3,0.0,7.7
310,20140210,3.9,-0.8,2.9,-4.2,71.9,6.3,0.0,7.1
311,20140210,1.1,-1.0,3.1,-4.0,74.4,3.4,0.7,7.1
312,20140210,9.1,1.8,3.0,0.4,70.8,3.5,0.0,2.6
313,20140210,1.5,0.0,4.4,-2.6,67.0,5.8,0.0,7.0
314,20140210,1.9,1.0,4.7,-1.4,68.4,0.6,0.0,6.1
315,20140210,2.3,0.8,4.6,-2.1,70.8,0.2,0.0,6.699999999999999
316,20140210,1.3,-0.1,4.0,-4.2,66.3,3.9,0.0,8.2
317,20140211,1.2,-1.7,5.7,-7.7,57.6,9.9,0.0,13.4
318,20140211,2.4,0.7,5.1,-3.3,48.3,10.1,0.0,8.399999999999999
319,20140211,2.1,0.8,4.8,-3.0,58.4,7.9,0.0,7.8
320,20140211,1.1,0.0,7.3,-7.2,60.1,8.5,0.0,14.5
321,20140211,0.6,-3.5,4.6,-10.3,66.3,9.3,0.0,14.9
322,20140211,4.0,1.9,6.8,-1.8,49.8,9.9,0.0,8.6
323,20140211,2.3,3.3,8.0,0.2,55.8,8.9,0.0,7.8
324,20140211,1.8,-2.1,1.0,-6.8,93.5,1.8,4.0,7.8
325,20140212,1.4,-1.4,5.2,-6.0,72.5,5.2,0.0,11.2
326,20140212,1.4,1.2,7.2,-1.7,75.9,5.5,0.0,8.9
327,20140212,2.1,2.7,7.7,-1.3,58.4,7.0,0.0,9.0
328,20140212,2.9,6.2,8.2,4.1,61.4,1.6,0.0,4.1
329,20140212,0.8,-2.2,4.7,-8.3,70.6,6.4,0.0,13.0
330,20140212,1.8,0.6,6.0,-3.2,75.4,5.7,0.0,9.2
331,20140212,4.4,3.9,8.3,0.7,55.5,10.2,0.0,7.6
332,20140212,1.1,0.5,7.4,-5.6,66.3,2.7,0.0,13.0
333,20140213,0.8,-0.4,0.6,-1.3,95.0,0.0,16.5,1.9
334,20140213,1.7,2.8,8.2,-1.4,63.8,4.3,0.0,9.6
335,20140213,4.4,4.4,7.4,2.0,62.8,4.6,0.0,5.4
